Date,Daily PnL,Daily Return (%),Num Trades,End Capital,Type
2020-03-13,5.055382629934335,5.055382629934335,6,105.05538262993433,Best
2024-03-14,2.658537776817549,2.658537776817549,8,102.65853777681757,Best
2018-10-09,2.4138617560447146,2.4138617560447146,20,102.41386175604472,Best
2020-03-25,2.3582851962634193,2.3582851962634193,6,102.35828519626342,Best
2020-03-24,2.1382038494254596,2.1382038494254596,5,102.13820384942547,Best
2022-05-26,2.082888325276229,2.082888325276229,5,102.08288832527623,Best
2023-02-07,1.815690304898942,1.815690304898942,1,101.81569030489894,Best
2018-06-05,1.775234938505068,1.7752349385050679,15,101.77523493850506,Best
2020-03-30,1.7587007272894797,1.7587007272894795,3,101.75870072728948,Best
2024-11-21,1.6742864846523253,1.6742864846523253,2,101.67428648465233,Best
2020-05-13,1.6739802118031213,1.673980211803121,10,101.67398021180311,Best
2023-06-26,1.6455998666098943,1.6455998666098943,10,101.6455998666099,Best
2018-10-30,1.5542854459263782,1.5542854459263782,4,101.55428544592635,Best
2024-01-03,1.4155014695894772,1.4155014695894772,3,101.41550146958947,Best
2018-02-07,1.406609913287211,1.406609913287211,9,101.40660991328718,Best
2019-04-02,-0.013092432573960337,-0.013092432573960337,1,99.98690756742604,Worst
2021-08-10,-0.01732153611580063,-0.01732153611580063,2,99.9826784638842,Worst
2021-12-03,-0.018928812903297815,-0.018928812903297815,2,99.9810711870967,Worst
2019-01-28,-0.02069207389944308,-0.02069207389944308,2,99.97930792610056,Worst
2020-12-30,-0.027492774931567633,-0.027492774931567637,2,99.97250722506843,Worst
2025-12-26,-0.03238647028336239,-0.03238647028336239,2,99.96761352971663,Worst
2025-07-30,-0.041546131593524493,-0.041546131593524493,1,99.95845386840648,Worst
2025-08-29,-0.07508363610285883,-0.07508363610285883,2,99.92491636389714,Worst
2021-11-04,-0.0825561381739674,-0.0825561381739674,1,99.91744386182603,Worst
2019-03-20,-0.09102962420596263,-0.09102962420596263,1,99.90897037579404,Worst
2018-03-01,-0.1003061978671703,-0.1003061978671703,1,99.89969380213283,Worst
2020-12-17,-0.1236989240915374,-0.1236989240915374,4,99.87630107590846,Worst
2020-09-24,-0.17528483786151372,-0.17528483786151372,1,99.82471516213849,Worst
2018-10-01,-0.21112895847273885,-0.21112895847273885,2,99.78887104152726,Worst
2021-02-10,-0.24613693275514123,-0.24613693275514123,1,99.75386306724486,Worst
