Date,Daily PnL,Daily Return (%),Num Trades,End Capital,Type
2020-03-13,3.8082437275985663,3.8082437275985663,1,103.80824372759857,Best
2020-04-08,2.837325950280161,2.837325950280161,3,102.83732595028016,Best
2020-04-16,2.292616879287333,2.292616879287333,12,102.29261687928732,Best
2020-11-12,1.9178482371050112,1.9178482371050112,5,101.91784823710502,Best
2020-03-31,1.87049415006013,1.87049415006013,6,101.87049415006013,Best
2019-05-20,1.8701502676668418,1.8701502676668418,11,101.87015026766684,Best
2020-05-19,1.7895066612076067,1.7895066612076067,7,101.78950666120761,Best
2020-03-17,1.6658820706525626,1.6658820706525623,3,101.66588207065256,Best
2020-12-23,1.6302624890944206,1.6302624890944206,5,101.63026248909442,Best
2019-02-26,1.629411366311607,1.6294113663116072,10,101.62941136631161,Best
2020-02-07,1.612862444824847,1.612862444824847,8,101.61286244482486,Best
2020-03-20,1.6013339101560717,1.6013339101560715,5,101.60133391015607,Best
2020-05-15,1.562206828957664,1.562206828957664,6,101.56220682895767,Best
2019-02-06,1.5481530991373966,1.5481530991373966,10,101.54815309913738,Best
2020-03-19,1.4825442372070752,1.4825442372070752,1,101.48254423720708,Best
2025-10-07,-0.01670667637474743,-0.01670667637474743,2,99.98329332362526,Worst
2020-09-16,-0.01678081287356667,-0.01678081287356667,3,99.98321918712644,Worst
2021-11-16,-0.017700571717192914,-0.017700571717192914,2,99.9822994282828,Worst
2021-12-03,-0.023250406882125724,-0.023250406882125724,1,99.97674959311787,Worst
2020-07-08,-0.03192848020433139,-0.03192848020433139,1,99.96807151979567,Worst
2020-06-02,-0.034241684543502196,-0.034241684543502196,2,99.9657583154565,Worst
2025-12-02,-0.04867037361979373,-0.04867037361979373,2,99.9513296263802,Worst
2023-08-01,-0.05371146202599635,-0.05371146202599635,1,99.946288537974,Worst
2022-04-21,-0.0598231849514768,-0.05982318495147681,2,99.94017681504852,Worst
2021-08-04,-0.061997814309493915,-0.06199781430949392,2,99.93800218569051,Worst
2021-07-30,-0.07500513193008122,-0.07500513193008122,1,99.92499486806992,Worst
2021-02-24,-0.07506380423359856,-0.07506380423359856,1,99.9249361957664,Worst
2023-03-24,-0.10485750134432735,-0.10485750134432735,1,99.89514249865567,Worst
2019-08-19,-0.11253257521913879,-0.11253257521913879,1,99.88746742478087,Worst
2019-03-22,-0.11893270821842016,-0.11893270821842016,1,99.88106729178158,Worst
